QB,Overall,Player Team (Bye),ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,Position,Scoring,RB,WR,TE
,174.0,Ja'Lynn Polk NE (14),,61.0,,63.0,66.0,63.3,WR,half-ppr,,66.0,
,182.0,Josh Downs IND (14),,62.0,,66.0,68.0,65.3,WR,half-ppr,,67.0,
,200.0,Darnell Mooney ATL (12),,,,70.0,63.0,66.5,WR,half-ppr,,68.0,
,202.0,Michael Wilson ARI (11),,,,74.0,61.0,67.5,WR,half-ppr,,69.0,
,210.0,Quentin Johnston LAC (5),,,,71.0,70.0,70.5,WR,half-ppr,,70.0,
,212.0,DeMario Douglas NE (14),,,,72.0,71.0,71.5,WR,half-ppr,,71.0,
,221.0,Troy Franklin DEN (14),,,,69.0,80.0,74.5,WR,half-ppr,,72.0,
,223.0,Jermaine Burton CIN (12),,,,75.0,74.0,74.5,WR,half-ppr,,73.0,
,228.0,Luke McCaffrey WAS (14),,,,76.0,76.0,76.0,WR,half-ppr,,74.0,
,238.0,Ricky Pearsall SF (9),,,,67.0,86.0,76.5,WR,half-ppr,,75.0,
,234.0,Marvin Mims Jr. DEN (14),,,,78.0,75.0,76.5,WR,half-ppr,,76.0,
,233.0,Wan'Dale Robinson NYG (11),,,,82.0,72.0,77.0,WR,half-ppr,,77.0,
,253.0,Roman Wilson PIT (9),,,,73.0,85.0,79.0,WR,half-ppr,,78.0,
,242.0,Rashod Bateman BAL (14),,,,77.0,81.0,79.0,WR,half-ppr,,79.0,
,251.0,Greg Dortch ARI (11),,,,81.0,78.0,79.5,WR,half-ppr,,80.0,
,254.0,Jalen McMillan TB (11),,,,83.0,79.0,81.0,WR,half-ppr,,81.0,
,265.0,Demarcus Robinson LAR (6),,,,80.0,88.0,84.0,WR,half-ppr,,82.0,
,267.0,Tyler Boyd TEN (5),,,,86.0,83.0,84.5,WR,half-ppr,,83.0,
,269.0,Jalen Tolbert DAL (7),,,,88.0,82.0,85.0,WR,half-ppr,,84.0,
,263.0,Dyami Brown WAS (14),,,,,69.0,69.0,WR,half-ppr,,85.0,
,268.0,Malachi Corley NYJ (12),,,,79.0,100.0,89.5,WR,half-ppr,,86.0,
,289.0,Darius Slayton NYG (11),,,,95.0,84.0,89.5,WR,half-ppr,,87.0,
,288.0,Andrei Iosivas CIN (12),,,,,77.0,77.0,WR,half-ppr,,88.0,
,291.0,Jalin Hyatt NYG (11),,,,91.0,91.0,91.0,WR,half-ppr,,89.0,
,284.0,DJ Chark Jr. LAC (5),,,,85.0,99.0,92.0,WR,half-ppr,,90.0,
,285.0,Javon Baker NE (14),,,,84.0,,84.0,WR,half-ppr,,91.0,
,287.0,Odell Beckham Jr.,,,,87.0,101.0,94.0,WR,half-ppr,,92.0,
,314.0,Jordan Whittington LAR (6),,,,,87.0,87.0,WR,half-ppr,,93.0,
,300.0,Malik Washington MIA (6),,,,99.0,92.0,95.5,WR,half-ppr,,94.0,
,317.0,Calvin Austin III PIT (9),,,,,89.0,89.0,WR,half-ppr,,95.0,
,298.0,Brenden Rice LAC (5),,,,89.0,,89.0,WR,half-ppr,,96.0,
,318.0,Noah Brown WAS (14) O,,,,,90.0,90.0,WR,half-ppr,,97.0,
,299.0,Elijah Moore CLE (10),,,,90.0,,90.0,WR,half-ppr,,98.0,
,303.0,Tre Tucker LV (10),,,,101.0,93.0,97.0,WR,half-ppr,,99.0,
,306.0,Treylon Burks TEN (5) O,,,,100.0,95.0,97.5,WR,half-ppr,,100.0,
,301.0,Devontez Walker BAL (14),,,,92.0,,92.0,WR,half-ppr,,101.0,
,302.0,Zay Jones ARI (11),,,,94.0,,94.0,WR,half-ppr,,102.0,
,322.0,Van Jefferson PIT (9),,,,,94.0,94.0,WR,half-ppr,,103.0,
,305.0,Kendrick Bourne NE (14),,,,96.0,102.0,99.0,WR,half-ppr,,104.0,
,315.0,Jonathan Mingo DAL (7),,,,103.0,96.0,99.5,WR,half-ppr,,105.0,
,310.0,Albert Wilson,,,,97.0,,97.0,WR,half-ppr,,106.0,
,329.0,K.J. Osborn WAS (14),,,,107.0,97.0,102.0,WR,half-ppr,,107.0,
,332.0,Alec Pierce IND (14),,,,,98.0,98.0,WR,half-ppr,,108.0,
,320.0,Kevin White,,,,102.0,,102.0,WR,half-ppr,,109.0,
,335.0,Jalen Nailor MIN (6),,,,,103.0,103.0,WR,half-ppr,,110.0,
,324.0,Zay Malone,,,,104.0,,104.0,WR,half-ppr,,111.0,
,328.0,Josh Reynolds JAC (12),,,,105.0,,105.0,WR,half-ppr,,112.0,
,340.0,Anthony Johnson,,,,108.0,,108.0,WR,half-ppr,,113.0,
,341.0,A.T. Perry DEN (14),,,,109.0,,109.0,WR,half-ppr,,114.0,
,26.0,Travis Kelce KC (6),,1.0,,1.0,2.0,1.3,TE,half-ppr,,,1.0
,29.0,Sam LaPorta DET (5),,2.0,,2.0,1.0,1.7,TE,half-ppr,,,2.0
,48.0,Trey McBride ARI (11),,3.0,,3.0,4.0,3.3,TE,half-ppr,,,3.0
,50.0,Mark Andrews BAL (14),,4.0,,4.0,5.0,4.3,TE,half-ppr,,,4.0
,52.0,Dalton Kincaid BUF (12),,6.0,,5.0,3.0,4.7,TE,half-ppr,,,5.0
,56.0,George Kittle SF (9),,5.0,,6.0,8.0,6.3,TE,half-ppr,,,6.0
,65.0,Kyle Pitts ATL (12),,7.0,,7.0,6.0,6.7,TE,half-ppr,,,7.0
,71.0,Evan Engram JAC (12) O,,8.0,,8.0,7.0,7.7,TE,half-ppr,,,8.0
,81.0,Jake Ferguson DAL (7),,9.0,,10.0,9.0,9.3,TE,half-ppr,,,9.0
,93.0,Brock Bowers LV (10),,11.0,,9.0,11.0,10.3,TE,half-ppr,,,10.0
,85.0,David Njoku CLE (10),,10.0,,11.0,10.0,10.3,TE,half-ppr,,,11.0
,111.0,Dallas Goedert PHI (5),,12.0,,12.0,12.0,12.0,TE,half-ppr,,,12.0
,123.0,Dalton Schultz HOU (14),,13.0,,13.0,15.0,13.7,TE,half-ppr,,,13.0
,127.0,T.J. Hockenson MIN (6),,19.0,,14.0,13.0,15.3,TE,half-ppr,,,14.0
,130.0,Pat Freiermuth PIT (9),,18.0,,15.0,14.0,15.7,TE,half-ppr,,,15.0
,139.0,Cole Kmet CHI (7),,20.0,,16.0,16.0,17.3,TE,half-ppr,,,16.0
,159.0,Taysom Hill NO (12) O,,21.0,,18.0,17.0,18.7,TE,half-ppr,,,17.0
,173.0,Isaiah Likely BAL (14),,17.0,,21.0,20.0,19.3,TE,half-ppr,,,18.0
,177.0,Luke Musgrave GB (10),,24.0,,17.0,18.0,19.7,TE,half-ppr,,,19.0
,187.0,Tyler Conklin NYJ (12),,22.0,,23.0,19.0,21.3,TE,half-ppr,,,20.0
,190.0,Jonnu Smith MIA (6),,16.0,,28.0,23.0,22.3,TE,half-ppr,,,21.0
,195.0,Ben Sinnott WAS (14),,23.0,,19.0,28.0,23.3,TE,half-ppr,,,22.0
,191.0,Hunter Henry NE (14),,27.0,,22.0,21.0,23.3,TE,half-ppr,,,23.0
,193.0,Chig Okonkwo TEN (5),,25.0,,24.0,22.0,23.7,TE,half-ppr,,,24.0
,194.0,Cade Otton TB (11),,28.0,,20.0,24.0,24.0,TE,half-ppr,,,25.0
,198.0,Zach Ertz WAS (14),,14.0,,32.0,29.0,25.0,TE,half-ppr,,,26.0
,203.0,Noah Fant SEA (10),,26.0,,25.0,26.0,25.7,TE,half-ppr,,,27.0
,209.0,Dawson Knox BUF (12),,15.0,,35.0,36.0,28.7,TE,half-ppr,,,28.0
,255.0,Juwan Johnson NO (12),,,,29.0,27.0,28.0,TE,half-ppr,,,29.0
,258.0,Ja'Tavion Sanders CAR (11),,,,26.0,32.0,29.0,TE,half-ppr,,,30.0
,261.0,Mike Gesicki CIN (12),,,,27.0,33.0,30.0,TE,half-ppr,,,31.0
,271.0,Theo Johnson NYG (11) O,,,,30.0,31.0,30.5,TE,half-ppr,,,32.0
,273.0,Greg Dulcich NYG (11),,,,33.0,30.0,31.5,TE,half-ppr,,,33.0
,277.0,Hayden Hurst LAC (5),,,,39.0,25.0,32.0,TE,half-ppr,,,34.0
,282.0,Colby Parkinson LAR (6),,,,31.0,34.0,32.5,TE,half-ppr,,,35.0
,304.0,Daniel Bellinger NYG (11),,,,41.0,35.0,38.0,TE,half-ppr,,,36.0
,308.0,Tucker Kraft GB (10),,,,36.0,,36.0,TE,half-ppr,,,37.0
,295.0,Michael Mayer LV (10),,,,37.0,37.0,37.0,TE,half-ppr,,,38.0
,336.0,Nick Keizer,,,,40.0,,40.0,TE,half-ppr,,,39.0
,337.0,Mo Alie-Cox IND (14),,,,42.0,,42.0,TE,half-ppr,,,40.0
,342.0,Jason Witten,,,,43.0,,43.0,TE,half-ppr,,,41.0
,343.0,Vernon Davis,,,,44.0,,44.0,TE,half-ppr,,,42.0
